salsah-id,salsah-url,dsp-url,dsp-iiif-image-api,dsp-iiif-image-api-info,dsp-iiif-image-api-full,signature,former-number,filename,bemerkungen
437514,https://data.dasch.swiss/resources/437514,,,,,SGV_12N_15279,,sgv.dir/images/SGV_12N_15279.tif,Bild fehlt auf der Festplatte.
439208,https://data.dasch.swiss/resources/439208,,,,,SGV_12N_16973,,sgv.dir/images/SGV_12N_16973.TIF,Bild fehlt auf der Festplatte.
439209,https://data.dasch.swiss/resources/439209,,,,,SGV_12N_16974,,sgv.dir/images/SGV_12N_16974.TIF,Bild fehlt auf der Festplatte.
439210,https://data.dasch.swiss/resources/439210,,,,,SGV_12N_16975,,sgv.dir/images/SGV_12N_16975.TIF,Bild fehlt auf der Festplatte.
439211,https://data.dasch.swiss/resources/439211,,,,,SGV_12N_16976,,sgv.dir/images/SGV_12N_16976.TIF,Bild fehlt auf der Festplatte.
439212,https://data.dasch.swiss/resources/439212,,,,,SGV_12N_16977,,sgv.dir/images/SGV_12N_16977.TIF,Bild fehlt auf der Festplatte.
439283,https://data.dasch.swiss/resources/439283,,,,,SGV_12N_17048,,sgv.dir/images/SGV_12N_17048.TIF,Bild fehlt auf der Festplatte.
439284,https://data.dasch.swiss/resources/439284,,,,,SGV_12N_17049,,sgv.dir/images/SGV_12N_17049.TIF,Bild fehlt auf der Festplatte.
439285,https://data.dasch.swiss/resources/439285,,,,,SGV_12N_17050,,sgv.dir/images/SGV_12N_17050.TIF,Bild fehlt auf der Festplatte.
439286,https://data.dasch.swiss/resources/439286,,,,,SGV_12N_17051,,sgv.dir/images/SGV_12N_17051.TIF,Bild fehlt auf der Festplatte.
439287,https://data.dasch.swiss/resources/439287,,,,,SGV_12N_17052,,sgv.dir/images/SGV_12N_17052.TIF,Bild fehlt auf der Festplatte.
439288,https://data.dasch.swiss/resources/439288,,,,,SGV_12N_17053,,sgv.dir/images/SGV_12N_17053.TIF,Bild fehlt auf der Festplatte.
439289,https://data.dasch.swiss/resources/439289,,,,,SGV_12N_17054,,sgv.dir/images/SGV_12N_17054.TIF,Bild fehlt auf der Festplatte.
439290,https://data.dasch.swiss/resources/439290,,,,,SGV_12N_17055,,sgv.dir/images/SGV_12N_17055.TIF,Bild fehlt auf der Festplatte.
439291,https://data.dasch.swiss/resources/439291,,,,,SGV_12N_17056,,sgv.dir/images/SGV_12N_17056.TIF,Bild fehlt auf der Festplatte.
439510,https://data.dasch.swiss/resources/439510,,,,,SGV_12N_17275,,sgv.dir/images/SGV_12N_17275.TIF,Bild fehlt auf der Festplatte.
439511,https://data.dasch.swiss/resources/439511,,,,,SGV_12N_17276,,sgv.dir/images/SGV_12N_17276.TIF,Bild fehlt auf der Festplatte.
439512,https://data.dasch.swiss/resources/439512,,,,,SGV_12N_17277,,sgv.dir/images/SGV_12N_17277.TIF,Bild fehlt auf der Festplatte.
442579,https://data.dasch.swiss/resources/442579,,,,,SGV_12N_20344,,sgv.dir/images/SGV_12N_20344.TIF,Bild fehlt auf der Festplatte.
442623,https://data.dasch.swiss/resources/442623,,,,,SGV_12N_20388,,sgv.dir/images/SGV_12N_20388.TIF,Bild fehlt auf der Festplatte.
444419,https://data.dasch.swiss/resources/444419,,,,,SGV_12N_22184,,sgv.dir/images/SGV_12N_22184.TIF,Bild fehlt auf der Festplatte.
444430,https://data.dasch.swiss/resources/444430,,,,,SGV_12N_22195,,sgv.dir/images/SGV_12N_22195.TIF,Bild fehlt auf der Festplatte.
444431,https://data.dasch.swiss/resources/444431,,,,,SGV_12N_22196,,sgv.dir/images/SGV_12N_22196.TIF,Bild fehlt auf der Festplatte.
444432,https://data.dasch.swiss/resources/444432,,,,,SGV_12N_22197,,sgv.dir/images/SGV_12N_22197.TIF,Bild fehlt auf der Festplatte.
446149,https://data.dasch.swiss/resources/446149,,,,,SGV_12N_23914,,sgv.dir/images/SGV_12N_23914.TIF,Bild fehlt auf der Festplatte.
446191,https://data.dasch.swiss/resources/446191,,,,,SGV_12N_23956,,sgv.dir/images/SGV_12N_23956.TIF,Bild fehlt auf der Festplatte.
446192,https://data.dasch.swiss/resources/446192,,,,,SGV_12N_23957,,sgv.dir/images/SGV_12N_23957.TIF,Bild fehlt auf der Festplatte.
449133,https://data.dasch.swiss/resources/449133,,,,,SGV_12N_26898,,sgv.dir/images/SGV_12N_26898.TIF,Bild fehlt auf der Festplatte.
449736,https://data.dasch.swiss/resources/449736,,,,,SGV_12N_27501,,sgv.dir/images/SGV_12N_27501.TIF,Bild fehlt auf der Festplatte.
449738,https://data.dasch.swiss/resources/449738,,,,,SGV_12N_27503,,sgv.dir/images/SGV_12N_27503.TIF,Bild fehlt auf der Festplatte.
449739,https://data.dasch.swiss/resources/449739,,,,,SGV_12N_27504,,sgv.dir/images/SGV_12N_27504.TIF,Bild fehlt auf der Festplatte.
449740,https://data.dasch.swiss/resources/449740,,,,,SGV_12N_27505,,sgv.dir/images/SGV_12N_27505.TIF,Bild fehlt auf der Festplatte.
449741,https://data.dasch.swiss/resources/449741,,,,,SGV_12N_27506,,sgv.dir/images/SGV_12N_27506.TIF,Bild fehlt auf der Festplatte.
449742,https://data.dasch.swiss/resources/449742,,,,,SGV_12N_27507,,sgv.dir/images/SGV_12N_27507.TIF,Bild fehlt auf der Festplatte.
449744,https://data.dasch.swiss/resources/449744,,,,,SGV_12N_27509,,sgv.dir/images/SGV_12N_27509.TIF,Bild fehlt auf der Festplatte.
449745,https://data.dasch.swiss/resources/449745,,,,,SGV_12N_27510,,sgv.dir/images/SGV_12N_27510.TIF,Bild fehlt auf der Festplatte.
449746,https://data.dasch.swiss/resources/449746,,,,,SGV_12N_27511,,sgv.dir/images/SGV_12N_27511.TIF,Bild fehlt auf der Festplatte.
449747,https://data.dasch.swiss/resources/449747,,,,,SGV_12N_27512,,sgv.dir/images/SGV_12N_27512.TIF,Bild fehlt auf der Festplatte.
449748,https://data.dasch.swiss/resources/449748,,,,,SGV_12N_27513,,sgv.dir/images/SGV_12N_27513.TIF,Bild fehlt auf der Festplatte.
449749,https://data.dasch.swiss/resources/449749,,,,,SGV_12N_27514,,sgv.dir/images/SGV_12N_27514.TIF,Bild fehlt auf der Festplatte.
449750,https://data.dasch.swiss/resources/449750,,,,,SGV_12N_27515,,sgv.dir/images/SGV_12N_27515.TIF,Bild fehlt auf der Festplatte.
449751,https://data.dasch.swiss/resources/449751,,,,,SGV_12N_27516,,sgv.dir/images/SGV_12N_27516.TIF,Bild fehlt auf der Festplatte.
449752,https://data.dasch.swiss/resources/449752,,,,,SGV_12N_27517,,sgv.dir/images/SGV_12N_27517.TIF,Bild fehlt auf der Festplatte.
449753,https://data.dasch.swiss/resources/449753,,,,,SGV_12N_27518,,sgv.dir/images/SGV_12N_27518.TIF,Bild fehlt auf der Festplatte.
449754,https://data.dasch.swiss/resources/449754,,,,,SGV_12N_27519,,sgv.dir/images/SGV_12N_27519.TIF,Bild fehlt auf der Festplatte.
449755,https://data.dasch.swiss/resources/449755,,,,,SGV_12N_27520,,sgv.dir/images/SGV_12N_27520.TIF,Bild fehlt auf der Festplatte.
449756,https://data.dasch.swiss/resources/449756,,,,,SGV_12N_27521,,sgv.dir/images/SGV_12N_27521.TIF,Bild fehlt auf der Festplatte.
449757,https://data.dasch.swiss/resources/449757,,,,,SGV_12N_27522,,sgv.dir/images/SGV_12N_27522.TIF,Bild fehlt auf der Festplatte.
449758,https://data.dasch.swiss/resources/449758,,,,,SGV_12N_27523,,sgv.dir/images/SGV_12N_27523.TIF,Bild fehlt auf der Festplatte.
449759,https://data.dasch.swiss/resources/449759,,,,,SGV_12N_27524,,sgv.dir/images/SGV_12N_27524.TIF,Bild fehlt auf der Festplatte.
449760,https://data.dasch.swiss/resources/449760,,,,,SGV_12N_27525,,sgv.dir/images/SGV_12N_27525.TIF,Bild fehlt auf der Festplatte.
449761,https://data.dasch.swiss/resources/449761,,,,,SGV_12N_27526,,sgv.dir/images/SGV_12N_27526.TIF,Bild fehlt auf der Festplatte.
449764,https://data.dasch.swiss/resources/449764,,,,,SGV_12N_27529,,sgv.dir/images/SGV_12N_27529.TIF,Bild fehlt auf der Festplatte.
449765,https://data.dasch.swiss/resources/449765,,,,,SGV_12N_27530,,sgv.dir/images/SGV_12N_27530.TIF,Bild fehlt auf der Festplatte.
449766,https://data.dasch.swiss/resources/449766,,,,,SGV_12N_27531,,sgv.dir/images/SGV_12N_27531.TIF,Bild fehlt auf der Festplatte.
449767,https://data.dasch.swiss/resources/449767,,,,,SGV_12N_27532,,sgv.dir/images/SGV_12N_27532.TIF,Bild fehlt auf der Festplatte.
449768,https://data.dasch.swiss/resources/449768,,,,,SGV_12N_27533,,sgv.dir/images/SGV_12N_27533.TIF,Bild fehlt auf der Festplatte.
449769,https://data.dasch.swiss/resources/449769,,,,,SGV_12N_27534,,sgv.dir/images/SGV_12N_27534.TIF,Bild fehlt auf der Festplatte.
449770,https://data.dasch.swiss/resources/449770,,,,,SGV_12N_27535,,sgv.dir/images/SGV_12N_27535.tif,Bild fehlt auf der Festplatte.
449771,https://data.dasch.swiss/resources/449771,,,,,SGV_12N_27536,,sgv.dir/images/SGV_12N_27536.TIF,Bild fehlt auf der Festplatte.
449772,https://data.dasch.swiss/resources/449772,,,,,SGV_12N_27537,,sgv.dir/images/SGV_12N_27537.TIF,Bild fehlt auf der Festplatte.
449773,https://data.dasch.swiss/resources/449773,,,,,SGV_12N_27538,,sgv.dir/images/SGV_12N_27538.tif,Bild fehlt auf der Festplatte.
449774,https://data.dasch.swiss/resources/449774,,,,,SGV_12N_27539,,sgv.dir/images/SGV_12N_27539.TIF,Bild fehlt auf der Festplatte.
449775,https://data.dasch.swiss/resources/449775,,,,,SGV_12N_27540,,sgv.dir/images/SGV_12N_27540.TIF,Bild fehlt auf der Festplatte.
449776,https://data.dasch.swiss/resources/449776,,,,,SGV_12N_27541,,sgv.dir/images/SGV_12N_27541.TIF,Bild fehlt auf der Festplatte.
449777,https://data.dasch.swiss/resources/449777,,,,,SGV_12N_27542,,sgv.dir/images/SGV_12N_27542.TIF,Bild fehlt auf der Festplatte.
449778,https://data.dasch.swiss/resources/449778,,,,,SGV_12N_27543,,sgv.dir/images/SGV_12N_27543.TIF,Bild fehlt auf der Festplatte.
449779,https://data.dasch.swiss/resources/449779,,,,,SGV_12N_27544,,sgv.dir/images/SGV_12N_27544.TIF,Bild fehlt auf der Festplatte.
449780,https://data.dasch.swiss/resources/449780,,,,,SGV_12N_27545,,sgv.dir/images/SGV_12N_27545.TIF,Bild fehlt auf der Festplatte.
449782,https://data.dasch.swiss/resources/449782,,,,,SGV_12N_27547,,sgv.dir/images/SGV_12N_27547.TIF,Bild fehlt auf der Festplatte.
449783,https://data.dasch.swiss/resources/449783,,,,,SGV_12N_27548,,sgv.dir/images/SGV_12N_27548.TIF,Bild fehlt auf der Festplatte.
449784,https://data.dasch.swiss/resources/449784,,,,,SGV_12N_27549,,sgv.dir/images/SGV_12N_27549.TIF,Bild fehlt auf der Festplatte.
449786,https://data.dasch.swiss/resources/449786,,,,,SGV_12N_27551,,sgv.dir/images/SGV_12N_27551.TIF,Bild fehlt auf der Festplatte.
449787,https://data.dasch.swiss/resources/449787,,,,,SGV_12N_27552,,sgv.dir/images/SGV_12N_27552.TIF,Bild fehlt auf der Festplatte.
449788,https://data.dasch.swiss/resources/449788,,,,,SGV_12N_27553,,sgv.dir/images/SGV_12N_27553.TIF,Bild fehlt auf der Festplatte.
449789,https://data.dasch.swiss/resources/449789,,,,,SGV_12N_27554,,sgv.dir/images/SGV_12N_27554.TIF,Bild fehlt auf der Festplatte.
449790,https://data.dasch.swiss/resources/449790,,,,,SGV_12N_27555,,sgv.dir/images/SGV_12N_27555.TIF,Bild fehlt auf der Festplatte.
449791,https://data.dasch.swiss/resources/449791,,,,,SGV_12N_27556,,sgv.dir/images/SGV_12N_27556.TIF,Bild fehlt auf der Festplatte.
449793,https://data.dasch.swiss/resources/449793,,,,,SGV_12N_27558,,sgv.dir/images/SGV_12N_27558.TIF,Bild fehlt auf der Festplatte.
449794,https://data.dasch.swiss/resources/449794,,,,,SGV_12N_27559,,sgv.dir/images/SGV_12N_27559.TIF,Bild fehlt auf der Festplatte.
449795,https://data.dasch.swiss/resources/449795,,,,,SGV_12N_27560,,sgv.dir/images/SGV_12N_27560.TIF,Bild fehlt auf der Festplatte.
449796,https://data.dasch.swiss/resources/449796,,,,,SGV_12N_27561,,sgv.dir/images/SGV_12N_27561.TIF,Bild fehlt auf der Festplatte.
449797,https://data.dasch.swiss/resources/449797,,,,,SGV_12N_27562,,sgv.dir/images/SGV_12N_27562.TIF,Bild fehlt auf der Festplatte.
449798,https://data.dasch.swiss/resources/449798,,,,,SGV_12N_27563,,sgv.dir/images/SGV_12N_27563.TIF,Bild fehlt auf der Festplatte.
449799,https://data.dasch.swiss/resources/449799,,,,,SGV_12N_27564,,sgv.dir/images/SGV_12N_27564.TIF,Bild fehlt auf der Festplatte.
449800,https://data.dasch.swiss/resources/449800,,,,,SGV_12N_27565,,sgv.dir/images/SGV_12N_27565.TIF,Bild fehlt auf der Festplatte.
449801,https://data.dasch.swiss/resources/449801,,,,,SGV_12N_27566,,sgv.dir/images/SGV_12N_27566.TIF,Bild fehlt auf der Festplatte.
449802,https://data.dasch.swiss/resources/449802,,,,,SGV_12N_27567,,sgv.dir/images/SGV_12N_27567.TIF,Bild fehlt auf der Festplatte.
449803,https://data.dasch.swiss/resources/449803,,,,,SGV_12N_27568,,sgv.dir/images/SGV_12N_27568.TIF,Bild fehlt auf der Festplatte.
449804,https://data.dasch.swiss/resources/449804,,,,,SGV_12N_27569,,sgv.dir/images/SGV_12N_27569.TIF,Bild fehlt auf der Festplatte.
449805,https://data.dasch.swiss/resources/449805,,,,,SGV_12N_27570,,sgv.dir/images/SGV_12N_27570.TIF,Bild fehlt auf der Festplatte.
449806,https://data.dasch.swiss/resources/449806,,,,,SGV_12N_27571,,sgv.dir/images/SGV_12N_27571.TIF,Bild fehlt auf der Festplatte.
449807,https://data.dasch.swiss/resources/449807,,,,,SGV_12N_27572,,sgv.dir/images/SGV_12N_27572.TIF,Bild fehlt auf der Festplatte.
449808,https://data.dasch.swiss/resources/449808,,,,,SGV_12N_27573,,sgv.dir/images/SGV_12N_27573.TIF,Bild fehlt auf der Festplatte.
449809,https://data.dasch.swiss/resources/449809,,,,,SGV_12N_27574,,sgv.dir/images/SGV_12N_27574.TIF,Bild fehlt auf der Festplatte.
449811,https://data.dasch.swiss/resources/449811,,,,,SGV_12N_27576,,sgv.dir/images/SGV_12N_27576.TIF,Bild fehlt auf der Festplatte.
449812,https://data.dasch.swiss/resources/449812,,,,,SGV_12N_27577,,sgv.dir/images/SGV_12N_27577.TIF,Bild fehlt auf der Festplatte.
449813,https://data.dasch.swiss/resources/449813,,,,,SGV_12N_27578,,sgv.dir/images/SGV_12N_27578.TIF,Bild fehlt auf der Festplatte.
449814,https://data.dasch.swiss/resources/449814,,,,,SGV_12N_27579,,sgv.dir/images/SGV_12N_27579.TIF,Bild fehlt auf der Festplatte.
449815,https://data.dasch.swiss/resources/449815,,,,,SGV_12N_27580,,sgv.dir/images/SGV_12N_27580.TIF,Bild fehlt auf der Festplatte.
449816,https://data.dasch.swiss/resources/449816,,,,,SGV_12N_27581,,sgv.dir/images/SGV_12N_27581.TIF,Bild fehlt auf der Festplatte.
