id,label,content,copyright,copyright_0,copyright_1,copyright_2,date,daterange_0,daterange_1,decimal-prop,duration,geoname,gnid,image,in_collection,lang,lat,lng,model,model/comment,objecttype,oldnr,person,person_0,person_1,person_2,person_3,person_4,person_5,salsah_comment,signature,tag,tag_0,tag_1,title
2574927,SGV_01F_00005,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1945,,,,21 (14),Hinterrhein,http://sws.geonames.org/2660341,sgv.dir/images/dummymovie.mp4,SGV_01,deutsch,46.53333,9.2,"16mm, schwarz/weiss, stumm",,Filme,9049/9510,,"Dietrich, Hermann","Lorez, Christian",,,,,"AH 48 Sechs Frauen bei der gemeinsamen Wäsche auf dem Dorfplatz: Abdichtung der Holzgefässe, Einweichen der Wäsche, Einseifen, Spülen in heissem und kaltem Wasser. Beim «Buuchen» wird die Wäsche mehrere Male in Aschenlauge eingeweicht.",SGV_01F_00005,"AH 48: Die ""Buuchi"", die grosse Wäsche in Hinterrhein",,,"Die «Buuchi», die grosse Wäsche in Hinterrhein"
2574928,SGV_01F_00004,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1943,,,,29 (20),Breíl,http://sws.geonames.org/2661414,sgv.dir/images/dummymovie.mp4,SGV_01,deutsch,46.76986,9.06036,"16mm, schwarz/weiss, stumm",,Filme,9042,,"Schocher, Bartholomé","Maissen, Alfons",,,,,"AH 67 Der Küfer Toni Cahanas küfert einen Holzeimer, bringt runde und flache Reifen und einen Henkel an.",SGV_01F_00004,AH 67,,,Herstellen eines Holzeimers
2574929,SGV_01F_00003,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1942,,,,6 (4),Dardin,http://sws.geonames.org/7670134,sgv.dir/images/dummymovie.mp4,SGV_01,deutsch,46.75914,9.04847,"16mm, schwarz/weiss, stumm",,Filme,9511,,"Schocher, Bartholomé","Maissen, Alfons",,,,,"AH 64 Herstellung eines Lederseils («Tretsche»), vom Zuschneiden der Lederriemen bis zum Flechten.",SGV_01F_00003,AH 64,,,Der Tretschenmacher
2574930,SGV_01F_00002,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1942,,,,7 (5),Axenstein,http://sws.geonames.org/2661656,sgv.dir/images/dummymovie.mp4,SGV_01,deutsch,46.98517,8.61294,"16mm, schwarz/weiss, stumm",,Filme,9503,,"Schocher, Bartholomé","Maissen, Alfons",,,,,AH 65 Caspar Schwarz beim Flechten eines Kartoffelkorbes aus Haselruten.,SGV_01F_00002,AH 65,,,Der Korbmacher
2574931,SGV_01F_00001,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1942,,,,11 (7),Dardin,http://sws.geonames.org/7670134,sgv.dir/images/dummymovie.mp4,SGV_01,,46.75914,9.04847,"16mm, schwarz/weiss, stumm",,Filme,9508,,"Schocher, Bartholomé","Maissen, Alfons",,,,,"AH 63 Eine Gruppe von Bäuerinnen backt Brot in einem Dorfbackofen: Zubereitung des Teiges, Formen der Brote, Einfeuern und Backen.",SGV_01F_00001,AH 63,,,Bäuerliches Brotbacken
2575210,SGV_01F_00029,"Schlumpf, Hans-Ulrich",,Schweizerische Gesellschaft für Volkskunde (SGV),"Schärer, Thomas","Saini, Pierrine",2009-09-16,,,,258,Zurich,http://sws.geonames.org/2657896,sgv.dir/images/dummymovie.mp4,SGV_01,dialekt,47.36667,8.55,"HDV, farbig",5 Kassetten,Filme,,,"Schärer, Thomas","Saini, Pierrine","Grunder, Rahel","Zwicki, Alexandra",,,"Besprochene Filme (online-zugänglich): Kurzfilmserie Waldarbeit im Prättigau: Kapitel 9; Guber – Arbeit im Stein: Kapitel 10, 11, 12,12, 14, 15, 16, 17, 18, 40; Umbruch: Kapitel 27, 28, 29, 30, 31, 32, 33, 34 37, 39, 41, 42",SGV_01F_00029,"Interview zur SGV-Filmreihe ""Altes und sterbendes Handwerk""",,,Interview mit Hans-Ulrich Schlumpf
2575211,SGV_01F_00030,"Champion, Claude",,Schweizerische Gesellschaft für Volkskunde (SGV),"Saini, Pierrine",,2009-09-17,,,,255,Lausanne,http://sws.geonames.org/2659994,sgv.dir/images/dummymovie.mp4,SGV_01,französisch,46.516,6.63282,"HDV, farbig",5 Kassetten,Filme,,,"Saini, Pierrine","Grunder, Rahel",,,,,"Besprochene Filme (online-zugänglich): Le Moulin Develey sis é la Quielle: Kapitel 1,  23, 24, 25, 36, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54",SGV_01F_00030,"Interview zur SGV-Filmreihe ""Altes und sterbendes Handwerk""",,,Interview mit Claude Champion
2575212,SGV_01F_00031,"Yersin, Yves",,Schweizerische Gesellschaft für Volkskunde (SGV),"Schärer, Thomas","Saini, Pierrine",2009-09-21,,,,209,Yverdon-les-Bains,http://sws.geonames.org/2657941,sgv.dir/images/dummymovie.mp4,SGV_01,französisch,46.77852,6.64115,"Digital (XDCAM), farbig",,Filme,,,"Schärer, Thomas","Saini, Pierrine","Ulmann, Roni",,,,"Besprochene Filme (online-zugänglich): Von Hufeisen und Hufbeschlag: Kapitel 2, 14; Les cloches de vaches: Kapitel 6, 16, 17, 18, 20; La Tannerie de la Sarraz: Kapitel 12, 13, 22, 23, 24; Heimposamenterei: Kapitel 34, 35; Die letzten Heimposamenter: Kapitel 34, 35, 36, 37",SGV_01F_00031,"Interview zur SGV-Filmreihe ""Altes und sterbendes Handwerk""",,,Interview mit Yves Yersin
2575213,SGV_01F_00032,"Brutsch, Jean-Luc",,Schweizerische Gesellschaft für Volkskunde (SGV),"Schärer, Thomas","Saini, Pierrine",2011-02-08,,,,130,Geneva,http://sws.geonames.org/2660646,sgv.dir/images/dummymovie.mp4,SGV_01,französisch,46.20222,6.14569,"Digital (XDCAM), farbig",,Filme,,,"Schärer, Thomas","Saini, Pierrine","Ulmann, Roni",,,,"Besprochene Filme (online-zugänglich): Les Mineurs de la Presta: Kapitel 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37",SGV_01F_00032,"Interview zur SGV-Filmreihe ""Altes und sterbendes Handwerk""",,,Interview mit Jean-Luc Brutsch
2575214,SGV_01F_00033,"Hugger, Paul",,Schweizerische Gesellschaft für Volkskunde (SGV),"Schärer, Thomas","Saini, Pierrine",2011-05-24,,,,135,Chardonne,http://sws.geonames.org/2661214,sgv.dir/images/dummymovie.mp4,SGV_01,dialekt,46.47676,6.8268,"Digital (XDCAM), farbig",,Filme,,,"Schärer, Thomas","Saini, Pierrine","Ulmann, Roni","Oertli, Helen",,,"Besprochene Filme (online-zugänglich): Beim Holzschuhmacher: Kapitel 4, 5, 6, 7; Ein Messer wird geschmiedet: Kapitel 10, 11, 12, 15; Hufeisen und Hufbeschlag: Kapitel 13, 14; Les cloches de vaches. Kapitel 17, 18; La Tannerie de la Sarraz: 19, 20;  Le moulin Develey sis à la Quielle: 25",SGV_01F_00033,"Interview zur SGV-Filmreihe ""Altes und sterbendes Handwerk""",,,Interview mit Paul Hugger II
2575215,SGV_01F_00034,"Wachter, Walter",,Schweizerische Gesellschaft für Volkskunde (SGV),"Schärer, Thomas",,2011-06-17,,,,183,Schaan,http://sws.geonames.org/3042041,sgv.dir/images/dummymovie.mp4,SGV_01,dialekt,47.16498,9.50867,"Digital (XDCAM), farbig",,Filme,,,"Schärer, Thomas","Ulmann, Roni","Schleiffenbaum, Lea",,,,"Besprochene Filme (online-zugänglich): Von Hufeisen und Hufbeschlag: Kapitel 11, 12, 27, 28, 29, 30",SGV_01F_00034,"Interview zur SGV-Filmreihe ""Altes und sterbendes Handwerk""",,,Interview mit Walter Wachter
