id, signature, date
422298,SGV_12N_00063,
422299,SGV_12N_00064,
422300,SGV_12N_00065,
422301,SGV_12N_00066,
422302,SGV_12N_00067,
422303,SGV_12N_00068,
422304,SGV_12N_00069,
422305,SGV_12N_00070,
422306,SGV_12N_00071,
422307,SGV_12N_00072,
422308,SGV_12N_00073,
422309,SGV_12N_00074,
422310,SGV_12N_00075,
422311,SGV_12N_00076,
422312,SGV_12N_00077,
422313,SGV_12N_00078,
422314,SGV_12N_00079,
422315,SGV_12N_00080,
422316,SGV_12N_00081,
422317,SGV_12N_00082,
422318,SGV_12N_00083,
422319,SGV_12N_00084,
422320,SGV_12N_00085,
422321,SGV_12N_00086,
422322,SGV_12N_00087,
422323,SGV_12N_00088,
422324,SGV_12N_00089,
422325,SGV_12N_00090,
422326,SGV_12N_00091,
422327,SGV_12N_00092,
422328,SGV_12N_00093,
422329,SGV_12N_00094,
422330,SGV_12N_00095,
422331,SGV_12N_00096,
422332,SGV_12N_00097,
422333,SGV_12N_00098,
422334,SGV_12N_00099,
422335,SGV_12N_00100,
422336,SGV_12N_00101,GREGORIAN:CE:1937
422337,SGV_12N_00102,GREGORIAN:CE:1937
422338,SGV_12N_00103,GREGORIAN:CE:1937
422339,SGV_12N_00104,
422340,SGV_12N_00105,
422341,SGV_12N_00106,
422342,SGV_12N_00107,
422343,SGV_12N_00108,
422344,SGV_12N_00109,
422345,SGV_12N_00110,GREGORIAN:CE:1937:CE:1942
422346,SGV_12N_00111,
422347,SGV_12N_00112,GREGORIAN:CE:1937:CE:1942
422348,SGV_12N_00113,
422349,SGV_12N_00114,
422350,SGV_12N_00115,GREGORIAN:CE:1938
422351,SGV_12N_00116,
422352,SGV_12N_00117,
422353,SGV_12N_00118,
422354,SGV_12N_00119,
422355,SGV_12N_00120,GREGORIAN:CE:1938
422356,SGV_12N_00121,
422357,SGV_12N_00122,
422358,SGV_12N_00123,
422359,SGV_12N_00124,
422360,SGV_12N_00125,
422361,SGV_12N_00126,
422362,SGV_12N_00127,
422363,SGV_12N_00128,
422364,SGV_12N_00129,
422365,SGV_12N_00130,
422366,SGV_12N_00131,
422367,SGV_12N_00132,
422368,SGV_12N_00133,
422369,SGV_12N_00134,
422370,SGV_12N_00135,
422371,SGV_12N_00136,
422372,SGV_12N_00137,
422373,SGV_12N_00138,
422374,SGV_12N_00139,
422375,SGV_12N_00140,
422376,SGV_12N_00141,
422377,SGV_12N_00142,
422378,SGV_12N_00143,
422379,SGV_12N_00144,
422380,SGV_12N_00145,
422381,SGV_12N_00146,
422382,SGV_12N_00147,
422383,SGV_12N_00148,GREGORIAN:CE:1938
422384,SGV_12N_00149,GREGORIAN:CE:1938
422385,SGV_12N_00150,GREGORIAN:CE:1938
422386,SGV_12N_00151,GREGORIAN:CE:1938
422387,SGV_12N_00152,GREGORIAN:CE:1938
422388,SGV_12N_00153,
422389,SGV_12N_00154,
422390,SGV_12N_00155,
422391,SGV_12N_00156,
422392,SGV_12N_00157,
422393,SGV_12N_00158,
422394,SGV_12N_00159,
422395,SGV_12N_00160,
422396,SGV_12N_00161,
422397,SGV_12N_00162,
422398,SGV_12N_00163,
422399,SGV_12N_00164,
422400,SGV_12N_00165,
422401,SGV_12N_00166,
422402,SGV_12N_00167,
422403,SGV_12N_00168,
422404,SGV_12N_00169,
422405,SGV_12N_00170,
422406,SGV_12N_00171,
422407,SGV_12N_00172,
422408,SGV_12N_00173,
422409,SGV_12N_00174,
422410,SGV_12N_00175,
422411,SGV_12N_00176,
422412,SGV_12N_00177,
422413,SGV_12N_00178,
422414,SGV_12N_00179,
422415,SGV_12N_00180,
422416,SGV_12N_00181,
422417,SGV_12N_00182,
422418,SGV_12N_00183,
422419,SGV_12N_00184,
422420,SGV_12N_00185,
422421,SGV_12N_00186,
422422,SGV_12N_00187,
422423,SGV_12N_00188,
422424,SGV_12N_00189,
422425,SGV_12N_00190,
422426,SGV_12N_00191,
422427,SGV_12N_00192,
422428,SGV_12N_00193,
422429,SGV_12N_00194,
422430,SGV_12N_00195,
422431,SGV_12N_00196,
422432,SGV_12N_00197,
422433,SGV_12N_00198,
422434,SGV_12N_00199,
422435,SGV_12N_00200,
422436,SGV_12N_00201,
422437,SGV_12N_00202,GREGORIAN:CE:1938
