asv id,latitude,longitude,name,desc,color,source,precision
114,47.395816,7.854695,Läufelfingen,"Läufelfingen, BASEL-LANDSCHAFT, CH",,MapQuest,city/town
115,47.397426,7.691818,Reigoldswil,"Reigoldswil, BASEL-LANDSCHAFT, CH",,MapQuest,city/town
116,47.39474,7.619266,Nunningen,"Nunningen, SOLOTHURN, CH",,MapQuest,city/town
117,47.42241,7.502002,Laufen,"Laufen, BASEL-LANDSCHAFT, CH",,MapQuest,city/town
118,47.426237,7.417565,Kleinlützel,"Kleinlützel, SOLOTHURN, CH",,MapQuest,city/town
119,47.280649,7.525223,Welschenrohr,"Welschenrohr, SOLOTHURN, CH",,MapQuest,city/town
120,47.314037,7.694776,Balsthal,"Balsthal, SOLOTHURN, CH",,MapQuest,city/town
121,47.333129,7.836512,Hägendorf,"Hägendorf, SOLOTHURN, CH",,MapQuest,city/town
122,47.320642,7.89936,Aarburg,"Aarburg, ARGOVIA, CH",,MapQuest,city/town
123,47.288491,7.945826,Zofingen,"Zofingen, ARGOVIA, CH",,MapQuest,city/town
124,47.305452,8.052795,Schöftland,"Schöftland, ARGOVIA, CH",,MapQuest,city/town
125,47.310784,8.115696,Unterkulm,"Unterkulm, ARGOVIA, CH",,MapQuest,city/town
126,47.235197,8.076748,Triengen,"Triengen, LUZERN, CH",,MapQuest,city/town
127,47.213567,7.990113,Dagmersellen,"Dagmersellen, LUZERN, CH",,MapQuest,city/town
128,47.234607,7.816166,Roggwil,"Roggwil, BERN - BERNE, CH",,MapQuest,city/town
129,47.266248,7.692307,Niederbipp,"Niederbipp, BERN - BERNE, CH",,MapQuest,city/town
130,47.199531,7.585984,Derendingen,"Derendingen, SOLOTHURN, CH",,MapQuest,city/town
131,47.208136,7.538405,Solothurn,"Solothurn, SOLOTHURN, CH",,MapQuest,city/town
132,47.196838,7.396587,Grenchen,"Grenchen, SOLOTHURN, CH",,MapQuest,city/town
133,47.521079,8.330138,Lengnau,"Lengnau, ARGOVIA, CH",,MapQuest,city/town
134,47.142045,7.258567,Biel,"Biel/Bienne, BERN - BERNE, CH",,MapQuest,city/town
135,47.447666,7.668458,Büren,"Büren, CH",,MapQuest,city/town
136,47.129051,7.559255,Utzenstorf,"Utzenstorf, BERN - BERNE, CH",,MapQuest,city/town
137,47.188131,7.705705,Herzogenbuchsee,"Herzogenbuchsee, BERN - BERNE, CH",,MapQuest,city/town
138,47.136393,7.813343,Rohrbach,"Rohrbach, BERN - BERNE, CH",,MapQuest,city/town
139,47.121518,7.99659,Willisau,"Willisau, LUZERN, CH",,MapQuest,city/town
140,47.177483,8.109794,Sursee,"Sursee, LUZERN, CH",,MapQuest,city/town
141,47.05747,8.073151,Wolhusen,"Wolhusen, LUZERN, CH",,MapQuest,city/town
